State,City,Violent Crime Rate,Latitude,Longitude
MARYLAND,La Plata,0.39,38.513875,-77.01034
MARYLAND,Mount Rainier,0.52,38.94266,-76.967057
MARYLAND,Laurel,0.45,39.093136,-76.881945
MARYLAND,Westminster,0.32,39.564201000000004,-76.980701
MARYLAND,Manchester,0.02,39.66121,-76.88498
MARYLAND,Landover Hills,0.55,38.943166999999995,-76.892195
MARYLAND,Hampstead,0.14,39.614552,-76.864427
MARYLAND,Hurlock,0.24,38.643824,-75.863003
MARYLAND,Havre de Grace,0.25,39.560095000000004,-76.15517
MARYLAND,Hagerstown,0.59,39.58887,-77.700213
MARYLAND,New Carrollton,0.42,38.969833,-76.87997299999999
MARYLAND,Greensboro,0.32,38.968592,-75.79073199999999
MARYLAND,Hyattsville,0.45,38.95286,-76.94629599999999
MARYLAND,North East,0.08,39.60011,-75.94133000000001
MARYLAND,Taneytown,0.16,39.657449,-77.169055
MARYLAND,Perryville,0.13,39.571449,-76.033281
MARYLAND,Pocomoke City,0.41,38.089201,-75.537185
MARYLAND,Princess Anne,0.84,38.200553,-75.75291999999999
MARYLAND,Ridgely,0.37,38.956134999999996,-75.889093
MARYLAND,Riverdale Park,0.71,38.963444,-76.931641
MARYLAND,Salisbury,0.94,38.382445000000004,-75.63362099999999
MARYLAND,Seat Pleasant,0.75,38.896223,-76.90664
MARYLAND,Smithsburg,0.03,39.65482,-77.57276999999999
MARYLAND,Snow Hill,0.34,38.217824,-75.32661800000001
MARYLAND,St. Michaels,0.67,38.78512,-76.22439
MARYLAND,Thurmont,0.14,39.610876,-77.398931
MARYLAND,Trappe,0.2,38.664452000000004,-76.058006
MARYLAND,Upper Marlboro,0.11,38.816171000000004,-76.78609300000001
MARYLAND,Greenbelt,0.45,38.833563,-76.87774300000001
MARYLAND,Ocean Pines,0.05,38.395392,-75.155742
MARYLAND,Glenarden,0.24,39.713941,-76.651296
MARYLAND,Delmar,0.59,38.452527,-75.57416500000001
MARYLAND,Frostburg,0.1,39.64206,-78.912502
MARYLAND,Fruitland,0.19,38.320318,-75.620806
MARYLAND,Aberdeen,0.56,39.499909,-76.231177
MARYLAND,Annapolis,0.48,38.98775,-76.5528
MARYLAND,Baltimore,1.54,39.296535999999996,-76.623489
MARYLAND,Bel Air,0.19,39.547557,-76.321984
MARYLAND,Berlin,0.07,38.310446999999996,-75.320901
MARYLAND,Berwyn Heights,0.3,38.993999,-76.910529
MARYLAND,Bladensburg,0.84,38.93928,-76.93386
MARYLAND,Bowie,0.11,38.982611999999996,-76.74379
MARYLAND,Brentwood,0.03,38.94317,-76.95664000000001
MARYLAND,Brunswick,0.63,39.317945,-77.624701
MARYLAND,Cambridge,1.3,38.479813,-76.079864
MARYLAND,Capitol Heights,0.11,38.833563,-76.87774300000001
MARYLAND,Centreville,0.15,39.084003,-76.091375
MARYLAND,Boonsboro,0.09,39.551986,-77.69572099999999
MARYLAND,Cheverly,0.35,38.928166999999995,-76.915807
MARYLAND,Chestertown,0.9,39.235988,-76.05931600000001
MARYLAND,Forest Heights,0.19,38.809558,-76.99803100000001
MARYLAND,Federalsburg,0.57,38.69428,-75.77216
MARYLAND,Fairmount Heights,0.06,38.900945,-76.915529
