State,City,Percent_None,Percent_High School,Percent_Associates,Percent_Bachelors,Percent_Graduate
Maryland,La Plata,8.27,23.27,37.42,16.56,14.48
Maryland,Mount Rainier,26.72,24.02,22.24,16.72,10.31
Maryland,Laurel,12.47,21.7,24.06,23.83,17.94
Maryland,Westminster,11.31,30.46,28.48,19.0,10.76
Maryland,Manchester,8.26,33.05,33.51,14.7,10.48
Maryland,Landover Hills,25.44,32.34,31.01,7.65,3.57
Maryland,Hampstead,4.85,29.73,32.01,22.53,10.88
Maryland,Hurlock,22.04,44.63,25.93,3.04,4.36
Maryland,Havre de Grace,8.52,27.22,26.57,20.09,17.6
Maryland,Hagerstown,17.02,36.32,30.31,10.11,6.24
Maryland,New Carrollton,16.85,28.7,28.73,16.93,8.79
Maryland,Greensboro,19.47,36.71,28.99,9.01,5.83
Maryland,Hyattsville,23.65,20.82,21.6,18.22,15.71
Maryland,North East,17.83,39.42,20.89,18.25,3.61
Maryland,Taneytown,10.11,37.54,27.3,17.39,7.65
Maryland,Perryville,5.88,43.91,24.75,17.34,8.13
Maryland,Pocomoke City,23.16,30.54,24.03,13.69,8.56
Maryland,Princess Anne,21.68,31.02,32.03,10.09,5.18
Maryland,Ridgely,17.17,33.04,32.07,9.35,8.37
Maryland,Riverdale Park,36.6,18.74,19.28,15.79,9.58
Maryland,Salisbury,14.39,28.94,27.71,16.92,12.04
Maryland,Seat Pleasant,18.73,39.82,27.75,8.77,4.93
Maryland,Smithsburg,5.28,33.19,35.17,16.44,9.93
Maryland,Snow Hill,18.1,40.75,21.83,9.83,9.49
Maryland,St. Michaels,9.42,26.46,27.41,23.48,13.23
Maryland,Thurmont,8.53,34.15,30.72,17.05,9.55
Maryland,Trappe,13.57,35.32,33.57,10.29,7.25
Maryland,Upper Marlboro,2.64,29.0,29.0,21.28,18.08
Maryland,Greenbelt,11.02,18.35,27.0,23.41,20.22
Maryland,Ocean Pines,6.55,23.65,31.9,23.25,14.64
Maryland,Glenarden,9.46,29.99,33.05,18.09,9.41
Maryland,Delmar,10.1,37.18,29.22,13.49,10.0
Maryland,Frostburg,9.99,33.77,25.72,11.71,18.8
Maryland,Fruitland,9.51,33.94,25.81,17.67,13.08
Maryland,Aberdeen,13.25,33.39,34.92,11.66,6.78
Maryland,Annapolis,12.15,20.88,22.11,24.93,19.94
Maryland,Baltimore,17.46,29.79,24.06,15.26,13.43
Maryland,Bel Air,1.95,27.88,42.11,20.37,7.7
Maryland,Bel Air,4.52,26.65,31.89,21.01,15.94
Maryland,Berlin,15.12,25.35,28.31,20.68,10.53
Maryland,Berwyn Heights,16.98,22.23,19.44,19.82,21.52
Maryland,Bladensburg,21.88,39.99,25.45,7.58,5.1
Maryland,Bowie,4.15,17.86,28.16,28.05,21.78
Maryland,Brentwood,33.01,22.96,24.42,10.73,8.88
Maryland,Brunswick,9.72,32.11,29.36,16.3,12.51
Maryland,Cambridge,16.29,38.82,23.83,13.18,7.87
Maryland,Capitol Heights,20.26,37.1,27.78,10.65,4.21
Maryland,Centreville,7.11,18.77,30.52,25.42,18.18
Maryland,Boonsboro,9.51,33.25,32.9,17.64,6.7
Maryland,Cheverly,10.88,18.56,26.61,24.86,19.09
Maryland,Chestertown,15.5,22.58,21.76,21.2,18.96
Maryland,Forest Heights,14.1,40.74,31.63,8.42,5.1
Maryland,Federalsburg,23.57,42.84,20.98,8.43,4.18
Maryland,Fairmount Heights,18.86,42.18,30.03,5.27,3.66
Maryland,Edmonston,38.54,27.34,19.73,7.4,6.99
Maryland,Easton,13.42,27.83,28.94,16.36,13.46
Maryland,Elkton,15.05,36.54,27.59,12.95,7.88
Maryland,Frederick,10.78,22.23,29.32,21.83,15.84
Maryland,Cumberland,12.38,40.59,29.26,9.74,8.02
Maryland,Crisfield,22.79,46.1,19.2,6.36,5.55
Maryland,Cottage City,25.85,28.08,27.03,13.16,5.88
Maryland,Colmar Manor,33.57,27.48,24.34,8.32,6.29
Maryland,District Heights,10.46,39.43,37.0,7.85,5.27
Virginia,Pembroke,16.59,43.43,28.73,7.68,3.56
Virginia,Pennington Gap,44.19,31.47,14.97,7.49,1.89
Virginia,Petersburg,22.1,33.98,28.01,9.16,6.74
Virginia,Poquoson,6.39,26.99,29.49,22.42,14.71
Virginia,Radford,10.62,22.59,31.26,20.73,14.79
Virginia,Pulaski,19.63,36.25,29.73,8.91,5.47
Virginia,Purcellville,4.94,15.14,26.47,34.15,19.3
Virginia,Rich Creek,13.89,45.89,30.9,6.4,2.93
Virginia,Richlands,23.85,34.54,27.68,8.92,5.01
