,Location,none,high_school,associate,bachelor,graduate
0,"La Plata, Maryland",8.27,23.27,37.42,16.56,14.48
1,"Mount Rainier, Maryland",26.72,24.02,22.24,16.72,10.31
2,"Laurel, Maryland",12.47,21.7,24.06,23.83,17.94
3,"Westminster, Maryland",11.31,30.46,28.48,19.0,10.76
4,"Manchester, Maryland",8.26,33.05,33.51,14.7,10.48
5,"Landover Hills, Maryland",25.44,32.34,31.01,7.65,3.57
6,"Hampstead, Maryland",4.85,29.73,32.01,22.53,10.88
7,"Hurlock, Maryland",22.04,44.63,25.93,3.04,4.36
8,"Havre de Grace, Maryland",8.52,27.22,26.57,20.09,17.6
9,"Hagerstown, Maryland",17.02,36.32,30.31,10.11,6.24
10,"New Carrollton, Maryland",16.85,28.7,28.73,16.93,8.79
11,"Greensboro, Maryland",19.47,36.71,28.99,9.01,5.83
12,"Hyattsville, Maryland",23.65,20.82,21.6,18.22,15.71
13,"North East, Maryland",17.83,39.42,20.89,18.25,3.61
14,"Taneytown, Maryland",10.11,37.54,27.3,17.39,7.65
15,"Perryville, Maryland",5.88,43.91,24.75,17.34,8.13
16,"Pocomoke City, Maryland",23.16,30.54,24.03,13.69,8.56
17,"Princess Anne, Maryland",21.68,31.02,32.03,10.09,5.18
18,"Ridgely, Maryland",17.17,33.04,32.07,9.35,8.37
19,"Riverdale Park, Maryland",36.6,18.74,19.28,15.79,9.58
20,"Salisbury, Maryland",14.39,28.94,27.71,16.92,12.04
21,"Seat Pleasant, Maryland",18.73,39.82,27.75,8.77,4.93
22,"Smithsburg, Maryland",5.28,33.19,35.17,16.44,9.93
23,"Snow Hill, Maryland",18.1,40.75,21.83,9.83,9.49
24,"St. Michaels, Maryland",9.42,26.46,27.41,23.48,13.23
25,"Thurmont, Maryland",8.53,34.15,30.72,17.05,9.55
26,"Trappe, Maryland",13.57,35.32,33.57,10.29,7.25
27,"Upper Marlboro, Maryland",2.64,29.0,29.0,21.28,18.08
28,"Greenbelt, Maryland",11.02,18.35,27.0,23.41,20.22
29,"Ocean Pines, Maryland",6.55,23.65,31.9,23.25,14.64
30,"Glenarden, Maryland",9.46,29.99,33.05,18.09,9.41
31,"Delmar, Maryland",10.1,37.18,29.22,13.49,10.0
32,"Frostburg, Maryland",9.99,33.77,25.72,11.71,18.8
33,"Fruitland, Maryland",9.51,33.94,25.81,17.67,13.08
34,"Aberdeen, Maryland",13.25,33.39,34.92,11.66,6.78
35,"Annapolis, Maryland",12.15,20.88,22.11,24.93,19.94
36,"Baltimore, Maryland",17.46,29.79,24.06,15.26,13.43
37,"Bel Air, Maryland",1.95,27.88,42.11,20.37,7.7
38,"Bel Air, Maryland",4.52,26.65,31.89,21.01,15.94
39,"Berlin, Maryland",15.12,25.35,28.31,20.68,10.53
40,"Berwyn Heights, Maryland",16.98,22.23,19.44,19.82,21.52
41,"Bladensburg, Maryland",21.88,39.99,25.45,7.58,5.1
42,"Bowie, Maryland",4.15,17.86,28.16,28.05,21.78
43,"Brentwood, Maryland",33.01,22.96,24.42,10.73,8.88
44,"Brunswick, Maryland",9.72,32.11,29.36,16.3,12.51
45,"Cambridge, Maryland",16.29,38.82,23.83,13.18,7.87
46,"Capitol Heights, Maryland",20.26,37.1,27.78,10.65,4.21
47,"Centreville, Maryland",7.11,18.77,30.52,25.42,18.18
48,"Boonsboro, Maryland",9.51,33.25,32.9,17.64,6.7
49,"Cheverly, Maryland",10.88,18.56,26.61,24.86,19.09
50,"Chestertown, Maryland",15.5,22.58,21.76,21.2,18.96
51,"Forest Heights, Maryland",14.1,40.74,31.63,8.42,5.1
52,"Federalsburg, Maryland",23.57,42.84,20.98,8.43,4.18
53,"Fairmount Heights, Maryland",18.86,42.18,30.03,5.27,3.66
54,"Edmonston, Maryland",38.54,27.34,19.73,7.4,6.99
55,"Easton, Maryland",13.42,27.83,28.94,16.36,13.46
56,"Elkton, Maryland",15.05,36.54,27.59,12.95,7.88
57,"Frederick, Maryland",10.78,22.23,29.32,21.83,15.84
58,"Cumberland, Maryland",12.38,40.59,29.26,9.74,8.02
59,"Crisfield, Maryland",22.79,46.1,19.2,6.36,5.55
60,"Cottage City, Maryland",25.85,28.08,27.03,13.16,5.88
61,"Colmar Manor, Maryland",33.57,27.48,24.34,8.32,6.29
62,"District Heights, Maryland",10.46,39.43,37.0,7.85,5.27
63,"Pembroke, Virginia",16.59,43.43,28.73,7.68,3.56
64,"Pennington Gap, Virginia",44.19,31.47,14.97,7.49,1.89
65,"Petersburg, Virginia",22.1,33.98,28.01,9.16,6.74
66,"Poquoson, Virginia",6.39,26.99,29.49,22.42,14.71
67,"Radford, Virginia",10.62,22.59,31.26,20.73,14.79
68,"Pulaski, Virginia",19.63,36.25,29.73,8.91,5.47
69,"Purcellville, Virginia",4.94,15.14,26.47,34.15,19.3
70,"Rich Creek, Virginia",13.89,45.89,30.9,6.4,2.93
71,"Richlands, Virginia",23.85,34.54,27.68,8.92,5.01
72,"Pearisburg, Virginia",13.07,37.31,28.2,14.05,7.36
73,"Portsmouth, Virginia",16.41,28.87,33.95,13.29,7.48
74,"Parksley, Virginia",10.45,37.69,27.05,13.81,11.01
75,"Mount Jackson, Virginia",29.59,38.02,20.59,7.73,4.08
76,"Onley, Virginia",7.71,33.71,31.43,16.86,10.29
77,"Onancock, Virginia",20.93,26.29,20.42,18.0,14.36
78,"Norton, Virginia",17.97,19.43,42.99,14.33,5.29
79,"Norfolk, Virginia",13.02,26.87,33.97,15.59,10.56
80,"Newport News, Virginia",10.99,28.16,36.81,15.0,9.04
81,"New Market, Virginia",28.6,31.94,18.0,12.1,9.36
82,"Narrows, Virginia",12.56,41.3,35.06,8.26,2.82
83,"Richmond, Virginia",16.82,23.03,24.1,21.85,14.2
84,"Middletown, Virginia",11.76,27.65,36.55,19.6,4.45
