State,City,Latitude,Longitude
MARYLAND,La Plata,38.513875,-77.01034
MARYLAND,Mount Rainier,38.94266,-76.967057
MARYLAND,Laurel,39.093136,-76.881945
MARYLAND,Westminster,39.564201,-76.980701
MARYLAND,Manchester,39.66121,-76.88498
MARYLAND,Landover Hills,38.943167,-76.892195
MARYLAND,Hampstead,39.614552,-76.864427
MARYLAND,Hurlock,38.643824,-75.863003
MARYLAND,Havre de Grace,39.560095,-76.15517
MARYLAND,Hagerstown,39.58887,-77.700213
MARYLAND,New Carrollton,38.969833,-76.879973
MARYLAND,Greensboro,38.968592,-75.790732
MARYLAND,Hyattsville,38.95286,-76.946296
MARYLAND,North East,39.60011,-75.94133
MARYLAND,Taneytown,39.657449,-77.169055
MARYLAND,Perryville,39.571449,-76.033281
MARYLAND,Pocomoke City,38.089201,-75.537185
MARYLAND,Princess Anne,38.200553,-75.75292
MARYLAND,Ridgely,38.956135,-75.889093
MARYLAND,Riverdale Park,38.963444,-76.931641
MARYLAND,Salisbury,38.382445,-75.633621
MARYLAND,Seat Pleasant,38.896223,-76.90664
MARYLAND,Smithsburg,39.65482,-77.57277
MARYLAND,Snow Hill,38.217824,-75.326618
MARYLAND,St. Michaels,38.78512,-76.22439
MARYLAND,Thurmont,39.610876,-77.398931
MARYLAND,Trappe,38.664452,-76.058006
MARYLAND,Upper Marlboro,38.816171,-76.786093
MARYLAND,Greenbelt,38.833563,-76.877743
MARYLAND,Ocean Pines,38.395392,-75.155742
MARYLAND,Glenarden,39.713941,-76.651296
MARYLAND,Delmar,38.452527,-75.574165
MARYLAND,Frostburg,39.64206,-78.912502
MARYLAND,Fruitland,38.320318,-75.620806
MARYLAND,Aberdeen,39.499909,-76.231177
MARYLAND,Annapolis,38.98775,-76.5528
MARYLAND,Baltimore,39.296536,-76.623489
MARYLAND,Bel Air,39.547557,-76.321984
MARYLAND,Berlin,38.310447,-75.320901
MARYLAND,Berwyn Heights,38.993999,-76.910529
MARYLAND,Bladensburg,38.93928,-76.93386
MARYLAND,Bowie,38.982612,-76.74379
MARYLAND,Brentwood,38.94317,-76.95664
MARYLAND,Brunswick,39.317945,-77.624701
MARYLAND,Cambridge,38.479813,-76.079864
MARYLAND,Capitol Heights,38.833563,-76.877743
MARYLAND,Centreville,39.084003,-76.091375
MARYLAND,Boonsboro,39.551986,-77.695721
MARYLAND,Cheverly,38.928167,-76.915807
MARYLAND,Chestertown,39.235988,-76.059316
MARYLAND,Forest Heights,38.809558,-76.998031
MARYLAND,Federalsburg,38.69428,-75.77216
MARYLAND,Fairmount Heights,38.900945,-76.915529
MARYLAND,Edmonston,38.946778,-76.931085
MARYLAND,Easton,38.800714,-76.051486
MARYLAND,Elkton,39.56186,-75.87574
MARYLAND,Frederick,39.443551,-77.33294
MARYLAND,Cumberland,39.580691,-78.690593
MARYLAND,Crisfield,37.998308,-75.818797
MARYLAND,Cottage City,38.938167,-76.948308
MARYLAND,Colmar Manor,38.933167,-76.945808
MARYLAND,District Heights,38.851262,-76.885744
VIRGINIA,Pembroke,37.31957,-80.63895
VIRGINIA,Pennington Gap,36.75823,-83.032536
VIRGINIA,Petersburg,37.209159,-77.497484
VIRGINIA,Poquoson,37.132326,-76.365419
VIRGINIA,Radford,37.119732,-80.556541
VIRGINIA,Pulaski,37.064714,-80.771241
VIRGINIA,Purcellville,39.143614,-77.734232
VIRGINIA,Rich Creek,37.38234,-80.82258
VIRGINIA,Richlands,37.09317,-81.79373
VIRGINIA,Pearisburg,37.32651,-80.73507
VIRGINIA,Portsmouth,36.811498,-76.367715
VIRGINIA,Parksley,37.78263,-75.65132
VIRGINIA,Mount Jackson,38.785693,-78.680304
VIRGINIA,Onley,37.69096,-75.71604
VIRGINIA,Onancock,37.693197,-75.746
VIRGINIA,Norton,36.93767,-82.622624
VIRGINIA,Norfolk,36.895911,-76.208521
VIRGINIA,Newport News,37.058296,-76.463471
VIRGINIA,New Market,38.673777,-78.677685
VIRGINIA,Narrows,37.342026,-80.762866
VIRGINIA,Richmond,37.524246,-77.493157
VIRGINIA,Middletown,39.048863,-78.285171
VIRGINIA,Martinsville,36.681298,-79.86626
VIRGINIA,Marion,36.832324,-81.597841
VIRGINIA,Manassas Park,38.784004,-77.469711
VIRGINIA,Manassas,38.744685,-77.487162
VIRGINIA,Orange,38.219183,-78.046093
VIRGINIA,Roanoke,37.274175,-79.95786
VIRGINIA,Lynchburg,37.359607,-79.141653
VIRGINIA,Salem,37.28814,-80.067762
VIRGINIA,Wytheville,36.92855,-81.146559
VIRGINIA,Woodstock,38.918791,-78.512429
VIRGINIA,Wise,37.002843,-82.570697
VIRGINIA,Windsor,36.845054,-76.713731
VIRGINIA,Winchester,39.169668,-78.16856
VIRGINIA,Williamsburg,37.310451,-76.746769
VIRGINIA,West Point,37.607215,-76.891642
VIRGINIA,Weber City,36.613714,-82.561825
VIRGINIA,Waynesboro,38.065794,-78.903445
VIRGINIA,Waverly,36.973687,-77.12993
VIRGINIA,Warrenton,38.689832,-77.836115
VIRGINIA,Virginia Beach,36.844004,-76.12036
VIRGINIA,Rocky Mount,36.995127,-79.852489
VIRGINIA,Vinton,37.275674,-79.877505
VIRGINIA,Victoria,36.961136,-78.258493
VIRGINIA,Timberville,38.63976,-78.781566
VIRGINIA,Tazewell,37.11484,-81.51955
VIRGINIA,Tappahannock,37.916613,-76.947547
VIRGINIA,Suffolk,36.874916,-76.553061
VIRGINIA,Strasburg,39.085146,-78.374963
VIRGINIA,Stephens City,39.08344,-78.21806
VIRGINIA,Staunton,38.157368,-79.065116
VIRGINIA,South Hill,36.717223,-78.168729
VIRGINIA,South Boston,36.679767,-78.952947
VIRGINIA,Smithfield,36.990826,-76.661123
VIRGINIA,Shenandoah,38.525239,-78.607184
VIRGINIA,Vienna,38.897361,-77.253749
VIRGINIA,Luray,38.645981,-78.481288
VIRGINIA,St. Paul,36.936767,-82.364288
VIRGINIA,Lexington,37.779976,-79.443495
VIRGINIA,Covington,37.780216,-79.986963
VIRGINIA,Colonial Heights,37.26219,-77.396989
VIRGINIA,Colonial Beach,38.25457,-76.96358
VIRGINIA,Coeburn,36.971586,-82.475496
VIRGINIA,Clintwood,37.149797,-82.463069
VIRGINIA,Clifton Forge,37.816239,-79.824495
VIRGINIA,Christiansburg,37.154804,-80.418396
VIRGINIA,Chincoteague,37.933179,-75.378809
VIRGINIA,Chilhowie,36.79845,-81.68234
VIRGINIA,Chesapeake,36.749991,-76.218759
VIRGINIA,Chase City,36.771496,-78.425379
VIRGINIA,Charlottesville,38.026588,-78.48045
VIRGINIA,Crewe,37.150355,-78.095474
VIRGINIA,Cape Charles,37.259125,-75.961975
VIRGINIA,Brookneal,37.05014,-78.94418
VIRGINIA,Bristol,36.613815,-82.176238
VIRGINIA,Bridgewater,38.38207,-78.9767
VIRGINIA,Bluefield,37.25262,-81.27121
VIRGINIA,Big Stone Gap,36.894806,-82.654215
VIRGINIA,Bedford,37.336027,-79.522585
VIRGINIA,Ashland,37.754912,-77.480128
VIRGINIA,Appalachia,36.90676,-82.78183
VIRGINIA,Altavista,37.11181,-79.28558
VIRGINIA,Alexandria,38.819853,-77.059645
VIRGINIA,Abingdon,36.740217,-82.026738
VIRGINIA,Louisa,37.998422,-77.967416
VIRGINIA,Buena Vista,37.730001,-79.355121
VIRGINIA,Culpeper,38.511694,-77.9928
VIRGINIA,Blackstone,37.12237,-77.978923
VIRGINIA,Danville,36.603501,-79.376228
VIRGINIA,Damascus,36.645463,-81.742678
VIRGINIA,Leesburg,39.041987,-77.605404
VIRGINIA,Lebanon,36.908553,-82.053655
VIRGINIA,Lawrenceville,36.734246,-77.813561
VIRGINIA,Hurt,37.09264,-79.29641
VIRGINIA,Hillsville,36.730347,-80.67507
VIRGINIA,Haymarket,38.721912,-77.466897
VIRGINIA,Harrisonburg,38.422777,-78.877137
VIRGINIA,Hampton,37.072658,-76.38992
VIRGINIA,Grottoes,38.272465,-78.805841
VIRGINIA,Gretna,36.983015,-79.321101
VIRGINIA,Gordonsville,38.175906,-78.181467
VIRGINIA,Gate City,36.621664,-82.542414
VIRGINIA,Hopewell,37.286676,-77.296596
VIRGINIA,Front Royal,38.928308,-78.174537
VIRGINIA,Galax,36.660281,-80.913605
VIRGINIA,Dublin,37.122327,-80.752614
VIRGINIA,Dumfries,38.56762,-77.32804
VIRGINIA,Dayton,38.41485,-78.93864
VIRGINIA,Emporia,36.694745,-77.535517
VIRGINIA,Exmore,37.5318,-75.82299
VIRGINIA,Elkton,38.4079,-78.62363
VIRGINIA,Falls Church,38.884177,-77.171752
VIRGINIA,Farmville,37.280694,-78.421284
VIRGINIA,Franklin,36.682635,-76.942233
VIRGINIA,Fredericksburg,38.295135,-77.483689
VIRGINIA,Fairfax City,38.855754,-77.313422
