,Location,Never_Marrieds,Marrieds,Divorceds,Separateds,Widoweds
0,"La Plata, Maryland",34.12,45.14,12.74,1.14,6.86
1,"Mount Rainier, Maryland",49.03,31.92,9.45,6.75,2.85
2,"Laurel, Maryland",41.41,39.54,11.98,2.94,4.13
3,"Westminster, Maryland",38.25,41.03,10.4,2.84,7.49
4,"Manchester, Maryland",24.87,58.77,9.18,0.88,6.3
5,"Landover Hills, Maryland",37.14,44.84,10.8,5.23,1.99
6,"Hampstead, Maryland",25.05,56.46,11.32,1.44,5.73
7,"Hurlock, Maryland",30.16,42.87,18.46,1.08,7.44
8,"Havre de Grace, Maryland",28.06,51.14,11.51,2.5,6.79
9,"Hagerstown, Maryland",35.25,39.57,14.03,3.57,7.58
10,"New Carrollton, Maryland",42.31,39.36,10.77,3.03,4.53
11,"Greensboro, Maryland",35.53,39.89,16.0,1.59,6.99
12,"Hyattsville, Maryland",48.04,35.55,8.78,3.7,3.94
13,"North East, Maryland",22.26,57.07,12.94,0.4,7.33
14,"Taneytown, Maryland",29.38,53.43,8.62,4.04,4.54
15,"Perryville, Maryland",29.15,49.57,14.8,2.49,3.99
16,"Pocomoke City, Maryland",40.29,30.38,17.99,1.8,9.54
17,"Princess Anne, Maryland",55.86,25.14,10.93,2.88,5.19
18,"Ridgely, Maryland",25.42,52.99,11.4,2.43,7.76
19,"Riverdale Park, Maryland",47.48,39.08,7.32,2.55,3.58
20,"Salisbury, Maryland",50.3,30.22,9.39,3.48,6.61
21,"Seat Pleasant, Maryland",52.17,28.46,9.45,2.97,6.94
22,"Smithsburg, Maryland",22.86,57.44,12.73,2.37,4.61
23,"Snow Hill, Maryland",42.95,34.21,9.79,2.0,11.05
24,"St. Michaels, Maryland",24.5,49.45,13.47,2.32,10.26
25,"Thurmont, Maryland",25.88,57.57,9.43,2.2,4.92
26,"Trappe, Maryland",29.56,46.79,12.32,6.81,4.51
27,"Upper Marlboro, Maryland",33.16,35.21,24.1,2.05,5.47
28,"Greenbelt, Maryland",45.72,34.86,11.98,4.41,3.02
29,"Ocean Pines, Maryland",16.02,62.95,11.66,1.16,8.21
30,"Glenarden, Maryland",42.08,33.68,12.35,2.64,9.25
31,"Delmar, Maryland",35.22,44.12,12.4,2.16,6.1
32,"Frostburg, Maryland",56.41,28.2,7.54,1.73,6.12
33,"Fruitland, Maryland",39.13,42.1,8.99,1.0,8.78
34,"Aberdeen, Maryland",35.04,44.22,12.67,2.61,5.45
35,"Annapolis, Maryland",40.85,40.32,11.11,2.1,5.61
36,"Baltimore, Maryland",51.95,26.6,11.01,3.83,6.61
37,"Bel Air, Maryland",29.98,40.41,20.85,0.0,8.76
38,"Bel Air, Maryland",26.31,53.58,10.99,1.82,7.3
39,"Berlin, Maryland",29.37,50.74,10.24,2.79,6.86
40,"Berwyn Heights, Maryland",38.7,46.07,8.9,1.38,4.95
41,"Bladensburg, Maryland",46.86,28.3,12.45,5.94,6.45
42,"Bowie, Maryland",32.66,48.56,10.52,1.75,6.51
43,"Brentwood, Maryland",47.33,38.35,6.86,3.11,4.35
44,"Brunswick, Maryland",26.32,47.64,17.2,1.36,7.48
45,"Cambridge, Maryland",43.05,32.54,13.69,2.58,8.14
46,"Capitol Heights, Maryland",50.68,26.93,11.99,2.95,7.45
47,"Centreville, Maryland",26.56,55.99,10.73,0.86,5.86
48,"Boonsboro, Maryland",20.9,55.16,14.66,1.68,7.6
49,"Cheverly, Maryland",34.93,47.87,7.92,5.37,3.91
50,"Chestertown, Maryland",47.58,26.73,10.43,1.54,13.71
51,"Forest Heights, Maryland",41.22,32.88,10.72,6.11,9.07
52,"Federalsburg, Maryland",41.67,35.11,12.04,4.78,6.4
53,"Fairmount Heights, Maryland",47.55,27.17,13.36,2.11,9.81
54,"Edmonston, Maryland",51.02,35.25,8.81,2.54,2.37
55,"Easton, Maryland",25.37,49.49,13.07,2.58,9.49
56,"Elkton, Maryland",33.54,43.28,15.46,2.02,5.7
57,"Frederick, Maryland",35.38,44.55,12.66,2.05,5.36
58,"Cumberland, Maryland",32.74,38.97,16.09,2.37,9.83
59,"Crisfield, Maryland",40.85,31.19,14.99,0.4,12.58
60,"Cottage City, Maryland",37.31,32.02,14.4,7.15,9.12
61,"Colmar Manor, Maryland",41.54,41.3,8.58,3.18,5.4
62,"District Heights, Maryland",44.07,31.55,13.09,3.42,7.87
63,"Pembroke, Virginia",25.38,46.02,17.71,2.65,8.24
64,"Pennington Gap, Virginia",19.17,34.89,21.24,5.33,19.37
65,"Petersburg, Virginia",47.02,29.45,11.17,4.51,7.84
66,"Poquoson, Virginia",23.72,60.27,8.89,0.48,6.63
67,"Radford, Virginia",62.31,25.35,7.36,1.61,3.38
68,"Pulaski, Virginia",28.76,42.16,14.8,3.34,10.95
69,"Purcellville, Virginia",28.81,57.63,7.67,1.99,3.89
70,"Rich Creek, Virginia",23.77,37.42,16.1,1.53,21.17
71,"Richlands, Virginia",21.95,47.21,14.75,3.32,12.78
72,"Pearisburg, Virginia",20.97,46.41,11.95,9.74,10.92
73,"Portsmouth, Virginia",37.36,37.83,13.52,4.07,7.22
74,"Parksley, Virginia",31.36,43.51,13.14,4.11,7.88
75,"Mount Jackson, Virginia",33.85,45.36,11.79,3.35,5.64
76,"Onley, Virginia",22.49,51.1,11.74,3.91,10.76
77,"Onancock, Virginia",30.19,41.67,11.67,3.43,13.06
78,"Norton, Virginia",25.75,43.11,17.95,5.75,7.44
79,"Norfolk, Virginia",45.97,34.08,11.39,3.55,5.02
80,"Newport News, Virginia",37.45,41.13,12.32,3.64,5.46
81,"New Market, Virginia",24.91,46.33,12.41,5.32,11.04
