Location,Population
"La Plata, Maryland",8994.0
"Mount Rainier, Maryland",8329.0
"Laurel, Maryland",25849.0
"Westminster, Maryland",18646.0
"Manchester, Maryland",4814.0
"Landover Hills, Maryland",1903.0
"Hampstead, Maryland",6351.0
"Hurlock, Maryland",1958.0
"Havre de Grace, Maryland",13445.0
"Hagerstown, Maryland",40210.0
"New Carrollton, Maryland",12542.0
"Greensboro, Maryland",2020.0
"Hyattsville, Maryland",18225.0
"North East, Maryland",3700.0
"Taneytown, Maryland",6740.0
"Perryville, Maryland",4427.0
"Pocomoke City, Maryland",4162.0
"Princess Anne, Maryland",3325.0
"Ridgely, Maryland",1379.0
"Riverdale Park, Maryland",7169.0
"Salisbury, Maryland",31883.0
"Seat Pleasant, Maryland",4699.0
"Smithsburg, Maryland",3010.0
"Snow Hill, Maryland",2343.0
"St. Michaels, Maryland",1084.0
"Thurmont, Maryland",6392.0
"Trappe, Maryland",1228.0
"Upper Marlboro, Maryland",699.0
"Greenbelt, Maryland",23827.0
"Ocean Pines, Maryland",11025.0
"Glenarden, Maryland",6212.0
"Delmar, Maryland",3026.0
"Frostburg, Maryland",8759.0
"Fruitland, Maryland",5110.0
"Aberdeen, Maryland",15238.0
"Annapolis, Maryland",38841.0
"Baltimore, Maryland",622454.0
"Bel Air, Maryland",1488.0
"Bel Air, Maryland",10247.0
"Berlin, Maryland",4520.0
"Berwyn Heights, Maryland",3223.0
"Bladensburg, Maryland",9461.0
"Bowie, Maryland",56885.0
"Brentwood, Maryland",3139.0
"Brunswick, Maryland",6055.0
"Cambridge, Maryland",12534.0
"Capitol Heights, Maryland",4482.0
"Centreville, Maryland",4507.0
"Boonsboro, Maryland",3456.0
"Cheverly, Maryland",6368.0
"Chestertown, Maryland",5186.0
"Forest Heights, Maryland",2530.0
"Federalsburg, Maryland",2676.0
"Fairmount Heights, Maryland",1602.0
"Edmonston, Maryland",1445.0
"Easton, Maryland",16599.0
"Elkton, Maryland",15718.0
"Frederick, Maryland",67421.0
"Cumberland, Maryland",20449.0
"Crisfield, Maryland",2685.0
"Cottage City, Maryland",1151.0
"Colmar Manor, Maryland",1693.0
"District Heights, Maryland",6036.0
"Pembroke, Virginia",1328.0
"Pennington Gap, Virginia",1804.0
"Petersburg, Virginia",32123.0
"Poquoson, Virginia",12077.0
"Radford, Virginia",17057.0
"Pulaski, Virginia",8958.0
"Purcellville, Virginia",8658.0
"Rich Creek, Virginia",797.0
"Richlands, Virginia",5630.0
"Pearisburg, Virginia",2727.0
"Portsmouth, Virginia",96135.0
"Parksley, Virginia",756.0
"Mount Jackson, Virginia",2253.0
"Onley, Virginia",501.0
"Onancock, Virginia",1214.0
"Norton, Virginia",4007.0
"Norfolk, Virginia",245452.0
"Newport News, Virginia",181323.0
"New Market, Virginia",2336.0
"Narrows, Virginia",2166.0
"Richmond, Virginia",213735.0
"Middletown, Virginia",1537.0
"Martinsville, Virginia",13624.0
"Marion, Virginia",5919.0
"Manassas Park, Virginia",15625.0
"Manassas, Virginia",40743.0
"Orange, Virginia",4854.0
"Roanoke, Virginia",98736.0
"Lynchburg, Virginia",78158.0
"Salem, Virginia",25165.0
"Wytheville, Virginia",8154.0
"Woodstock, Virginia",5181.0
"Wise, Virginia",3185.0
"Windsor, Virginia",2642.0
"Winchester, Virginia",27168.0
"Williamsburg, Virginia",14754.0
"West Point, Virginia",3336.0
"Weber City, Virginia",1389.0
"Waynesboro, Virginia",21150.0
"Waverly, Virginia",1570.0
"Warrenton, Virginia",9843.0
"Virginia Beach, Virginia",448290.0
"Rocky Mount, Virginia",4794.0
"Vinton, Virginia",8162.0
"Victoria, Virginia",1809.0
"Timberville, Virginia",2576.0
"Tazewell, Virginia",4522.0
"Tappahannock, Virginia",2223.0
"Suffolk, Virginia",86184.0
"Strasburg, Virginia",6506.0
"Stephens City, Virginia",1905.0
"Staunton, Virginia",24193.0
"South Hill, Virginia",4566.0
"South Boston, Virginia",8037.0
"Smithfield, Virginia",8233.0
"Shenandoah, Virginia",2412.0
"Vienna, Virginia",16341.0
"Luray, Virginia",4843.0
"St. Paul, Virginia",1080.0
"Lexington, Virginia",7071.0
"Covington, Virginia",5736.0
"Colonial Heights, Virginia",17515.0
"Colonial Beach, Virginia",3556.0
"Coeburn, Virginia",2377.0
"Clintwood, Virginia",1423.0
"Clifton Forge, Virginia",3839.0
"Christiansburg, Virginia",21623.0
"Chincoteague, Virginia",2930.0
"Chilhowie, Virginia",1839.0
"Chesapeake, Virginia",230601.0
"Chase City, Virginia",2312.0
"Charlottesville, Virginia",45084.0
"Crewe, Virginia",2746.0
"Cape Charles, Virginia",912.0
"Brookneal, Virginia",1184.0
"Bristol, Virginia",17524.0
"Bridgewater, Virginia",5844.0
"Bluefield, Virginia",5350.0
"Big Stone Gap, Virginia",5508.0
"Bedford, Virginia",6522.0
"Ashland, Virginia",7298.0
"Appalachia, Virginia",1871.0
"Altavista, Virginia",3464.0
"Alexandria, Virginia",149315.0
"Abingdon, Virginia",8143.0
"Louisa, Virginia",2204.0
"Buena Vista, Virginia",6666.0
"Culpeper, Virginia",17167.0
"Blackstone, Virginia",3553.0
"Danville, Virginia",42450.0
"Damascus, Virginia",759.0
"Leesburg, Virginia",47872.0
"Lebanon, Virginia",3388.0
"Lawrenceville, Virginia",1419.0
"Hurt, Virginia",1412.0
"Hillsville, Virginia",2701.0
"Haymarket, Virginia",1915.0
"Harrisonburg, Virginia",51388.0
"Hampton, Virginia",137081.0
"Grottoes, Virginia",2714.0
"Gretna, Virginia",1283.0
"Gordonsville, Virginia",1564.0
"Gate City, Virginia",2370.0
"Hopewell, Virginia",22279.0
"Front Royal, Virginia",14846.0
"Galax, Virginia",6876.0
"Dublin, Virginia",2665.0
"Dumfries, Virginia",5158.0
"Dayton, Virginia",1654.0
"Emporia, Virginia",5672.0
"Exmore, Virginia",1510.0
"Elkton, Virginia",2779.0
