,Location,Unemployment
0,"La Plata, Maryland",1.99
1,"Mount Rainier, Maryland",7.2
2,"Laurel, Maryland",5.14
3,"Westminster, Maryland",3.65
4,"Manchester, Maryland",1.97
5,"Landover Hills, Maryland",7.76
6,"Hampstead, Maryland",2.75
7,"Hurlock, Maryland",13.06
8,"Havre de Grace, Maryland",6.44
9,"Hagerstown, Maryland",7.97
10,"New Carrollton, Maryland",9.6
11,"Greensboro, Maryland",9.93
12,"Hyattsville, Maryland",5.17
13,"North East, Maryland",5.18
14,"Taneytown, Maryland",3.15
15,"Perryville, Maryland",9.07
16,"Pocomoke City, Maryland",15.72
17,"Princess Anne, Maryland",3.39
18,"Ridgely, Maryland",4.98
19,"Riverdale Park, Maryland",6.35
20,"Salisbury, Maryland",6.57
21,"Seat Pleasant, Maryland",7.85
22,"Smithsburg, Maryland",3.91
23,"Snow Hill, Maryland",8.16
24,"St. Michaels, Maryland",2.44
25,"Thurmont, Maryland",7.47
26,"Trappe, Maryland",7.09
27,"Upper Marlboro, Maryland",2.27
28,"Greenbelt, Maryland",5.21
29,"Ocean Pines, Maryland",3.59
30,"Glenarden, Maryland",5.81
31,"Delmar, Maryland",5.3
32,"Frostburg, Maryland",6.53
33,"Fruitland, Maryland",3.77
34,"Aberdeen, Maryland",6.08
35,"Annapolis, Maryland",3.63
36,"Baltimore, Maryland",8.08
37,"Bel Air, Maryland",3.51
38,"Bel Air, Maryland",4.26
39,"Berlin, Maryland",4.16
40,"Berwyn Heights, Maryland",3.87
41,"Bladensburg, Maryland",6.65
42,"Bowie, Maryland",5.53
43,"Brentwood, Maryland",4.57
44,"Brunswick, Maryland",2.8
45,"Cambridge, Maryland",7.88
46,"Capitol Heights, Maryland",10.93
47,"Centreville, Maryland",1.53
48,"Boonsboro, Maryland",6.92
49,"Cheverly, Maryland",7.5
50,"Chestertown, Maryland",2.73
51,"Forest Heights, Maryland",9.34
52,"Federalsburg, Maryland",8.17
53,"Fairmount Heights, Maryland",12.77
54,"Edmonston, Maryland",3.68
55,"Easton, Maryland",3.68
56,"Elkton, Maryland",5.52
57,"Frederick, Maryland",4.79
58,"Cumberland, Maryland",6.66
59,"Crisfield, Maryland",6.41
60,"Cottage City, Maryland",6.53
61,"Colmar Manor, Maryland",6.08
62,"District Heights, Maryland",10.16
63,"Pembroke, Virginia",4.96
64,"Pennington Gap, Virginia",4.47
65,"Petersburg, Virginia",7.36
66,"Poquoson, Virginia",2.83
67,"Radford, Virginia",4.33
68,"Pulaski, Virginia",4.66
69,"Purcellville, Virginia",3.36
70,"Rich Creek, Virginia",2.95
71,"Richlands, Virginia",3.46
72,"Pearisburg, Virginia",2.32
73,"Portsmouth, Virginia",7.12
74,"Parksley, Virginia",3.99
75,"Mount Jackson, Virginia",5.2
76,"Onley, Virginia",0.0
77,"Onancock, Virginia",4.41
78,"Norton, Virginia",6.88
79,"Norfolk, Virginia",6.21
80,"Newport News, Virginia",5.78
81,"New Market, Virginia",1.94
82,"Narrows, Virginia",1.1
83,"Richmond, Virginia",6.53
84,"Middletown, Virginia",6.73
85,"Martinsville, Virginia",6.15
86,"Marion, Virginia",2.38
87,"Manassas Park, Virginia",3.1
88,"Manassas, Virginia",5.67
89,"Orange, Virginia",3.36
90,"Roanoke, Virginia",5.29
91,"Lynchburg, Virginia",4.6
92,"Salem, Virginia",3.02
